ALK B
ALMB
AMBU B
BAVA
BOOZT DKK
CARL A
CARL B
CHEMM
CHR
COLO B
DANSKE
DEMANT
DFDS
DRLCO
DSV
FLS
GMAB
GN
ISS
JDAN
JYSK
KBHL
LUN
MAERSK A
MAERSK B
NDA DK
NETC
NKT
NOVO B
NTG
NZYM B
ORSTED
OSSR
PNDORA
RBREW
RILBA
ROCK A
ROCK B
SAS DKK
SCHO
SIM
SPNO
STG
SYDB
TOP
TRYG
VWS
ZEAL
AOJ P
AQP
BNORDIK CSE
BO
CBRAIN
COLUM
DAB
DNORD
FLUG B
GABR
GREENH
GYLD A
GYLD B
HART
HH
HUSCO
LASP
MATAS
NLFSK
NNIT
NORTHM
ORPHA
PAAL B
RTX
SOLAR B
SPG
SPKSJF
TCM
TIV
TRIFOR
TRMD A
UIE
VJBA
AAB
AGAT
AGF B
ATLA DKK
BIF
BIOPOR
BLVIS A
CEMAT
CPHCAP ST
DANT
DJUR
EAC
FED
FFARMS
FYNBK
GERHSP
GJ
GREENM
GRLA
HARB B
HVID
IMAIL
KLEE B
KRE
LOLB
LUXOR B
MNBA
MTHH
NEWCAP
NORDIC
NRDF
NTR B
PARKEN
PARKST A
PRIMOF
RBLN B
RIAS B
ROV
SANI
SBS
SCD
SIF
SIG
SKAKO
SKJE
STRINV
TOTA
